date,neb_balance,neb_surcharge,neb_notes,cell_phones,cell_phones_round
2015,8120555.8,0.45,,18045679.55555555555555555556,18045680
2014,7948205.99,0.45,,17662679.97777777777777777778,17662680
2013,8020447.42,0.45,,17823216.48888888888888888889,17823216
2012,8137993.9,0.5,,16275987.8,16275988
2011,8012693.7,0.5,,16025387.4,16025387
2010,7847272.81,0.5,,15694545.62,15694546
2009,7701153.41,0.5,,15402306.82,15402307
2008,7380870.49,0.5,,14761740.98,14761741
2007,6849095.65,0.5,,13698191.3,13698191
2006,6045044.82,0.5,,12090089.64,12090090
2005,5759442.54,0.5,,11518885.08,11518885
2004,5344195.08,0.5,,10688390.16,10688390
2003,4931242.88,0.5,,9862485.76,9862486
2002,4556158.34,0.5,,9112316.68,9112317
2001,2045383.75,0.5,July to Dec 2001,4090767.5,4090768
