Year, Last, Missing, First, Missing, Season Length
1893, -, 9, 09-25 (1893), 2, -
1894, 05-19 (1894), 0, 10-08 (1894), 2, 141
1895, -, 41, 10-15 (1895), 1, -
1896, 04-18 (1896), 1, 10-17 (1896), 2, 181
1897, 05-24 (1897), 0, 10-09 (1897), 4, 137
1898, -, 13, 10-05 (1898), 0, -
1899, 04-22 (1899), 1, 09-20 (1899), 0, 150
1900, -, 24, -, 24, -
1901, 05-11 (1901), 2, -, 10, -
1902, 04-23 (1902), 0, 09-12 (1902), 2, 141
1903, 05-03 (1903), 0, 09-16 (1903), 0, 135
1904, 05-14 (1904), 2, 10-22 (1904), 3, 160
1905, 05-05 (1905), 0, 10-10 (1905), 0, 157
1906, 05-06 (1906), 1, 09-30 (1906), 0, 146
1907, 05-16 (1907), 0, 09-28 (1907), 0, 134
1908, 05-08 (1908), 2, 09-28 (1908), 2, 142
1909, 05-10 (1909), 2, 10-12 (1909), 5, 154
1910, 05-13 (1910), 0, 10-19 (1910), 0, 158
1911, -, 10, 10-20 (1911), 2, -
1912, 04-22 (1912), 5, 09-26 (1912), 0, 156
1913, 04-26 (1913), 1, 09-22 (1913), 0, 148
1914, 05-14 (1914), 0, 10-15 (1914), 0, 153
1915, 05-18 (1915), 0, 09-21 (1915), 1, 125
1916, 05-17 (1916), 0, 09-15 (1916), 0, 120
1917, 05-07 (1917), 0, 10-08 (1917), 0, 153
1918, 05-10 (1918), 0, 09-18 (1918), 0, 130
1919, 04-24 (1919), 1, 10-10 (1919), 0, 168
1920, 04-28 (1920), 0, 09-30 (1920), 0, 154
1921, 05-14 (1921), 0, 09-30 (1921), 2, 138
1922, 04-29 (1922), 0, 10-09 (1922), 0, 162
1923, 05-12 (1923), 0, 10-13 (1923), 0, 153
1924, 05-24 (1924), 0, 09-28 (1924), 2, 126
1925, 05-25 (1925), 0, 10-06 (1925), 0, 133
1926, 05-14 (1926), 0, 09-25 (1926), 0, 133
1927, 05-10 (1927), 0, 10-08 (1927), 0, 150
1928, -, 7, 09-25 (1928), 0, -
1929, 05-16 (1929), 0, 10-21 (1929), 0, 157
1930, 04-23 (1930), 0, 10-16 (1930), 0, 175
1931, 05-22 (1931), 0, 10-05 (1931), 0, 135
1932, 04-27 (1932), 0, 10-05 (1932), 1, 160
1933, 04-16 (1933), 1, 10-08 (1933), 2, 174
1934, 04-27 (1934), 0, 09-21 (1934), 0, 146
1935, 04-19 (1935), 0, 09-27 (1935), 2, 160
1936, 04-22 (1936), 1, 10-07 (1936), 0, 167
1937, 04-27 (1937), 0, 10-14 (1937), 0, 169
1938, 05-08 (1938), 0, 09-19 (1938), 0, 133
1939, 04-19 (1939), 0, 09-30 (1939), 0, 163
1940, 04-24 (1940), 1, 09-11 (1940), 0, 139
1941, 04-24 (1941), 1, 09-28 (1941), 0, 156
1942, 05-18 (1942), 2, 09-24 (1942), 3, 128
1943, 05-12 (1943), 2, 09-09 (1943), 0, 119
1944, 05-06 (1944), 1, 10-08 (1944), 3, 154
1945, 05-17 (1945), 0, 09-28 (1945), 2, 133
1946, -, 304, -, 365, -
Minimum, 04-16 (1933), 09-09 (1943), 119
Mean, 05-06, 10-02, 148
Maximum, 05-25 (1925), 10-22 (1904), 181
