Year,diff_JAN,diff_FEB,diff_MAR,diff_APR,diff_MAY,diff_JUN,diff_JUL,diff_AUG,diff_SEP,diff_OCT,diff_NOV,diff_DEC,diff_Annual
2015,3.50,-7.40,3.20,2.40,-0.80,0.80,-0.50,-1.50,5.40,3.90,6.00,6.80,1.70
2014,-2.30,-6.50,-3.00,1.10,2.90,1.30,-2.60,0.80,-0.40,2.00,-4.30,4.60,-0.50
2013,0.60,0.90,-5.30,-5.50,-0.80,-0.80,-1.80,0.80,4.60,-1.50,-2.20,-4.60,-1.40
2012,5.40,1.60,14.90,4.40,4.60,2.50,3.70,-1.00,-1.40,-3.70,2.40,1.10,2.90
2011,-6.20,-2.10,-0.70,-0.00,-0.50,0.30,3.90,0.20,-4.50,2.40,1.00,2.40,-0.40
2010,-6.60,-0.70,0.90,4.00,-1.80,1.60,0.20,2.80,0.30,2.20,0.20,-1.80,-0.50
2009,-0.70,2.10,-0.10,-1.50,1.60,-0.30,-5.00,-3.00,-1.60,-7.00,5.10,-7.10,-1.60
2008,-2.00,-3.40,-1.80,-4.30,-1.90,0.20,1.00,0.10,-0.50,1.20,0.80,-3.80,-1.00
2007,-0.90,-5.10,7.90,-1.30,3.60,-0.10,1.60,4.20,1.10,4.20,0.60,-2.60,1.00
2006,12.10,0.70,-0.60,3.90,2.40,1.70,2.60,0.40,-2.80,-2.70,1.20,6.70,2.00
2005,-3.60,4.60,1.20,2.40,-0.30,2.70,1.80,-0.30,4.30,1.70,3.30,-2.10,1.20
2004,-2.90,-3.60,4.90,1.80,2.20,-3.60,-4.00,-3.70,4.10,1.70,3.00,4.10,0.20
2003,-0.30,-4.40,0.40,1.10,-2.90,-3.40,1.50,2.40,-3.70,2.10,-1.10,3.70,-0.50
2002,5.30,2.00,-7.30,1.10,-2.80,5.10,3.00,1.00,1.60,-6.50,-1.30,5.20,2.30
2001,2.00,-7.70,-4.00,3.20,1.60,-1.20,2.20,1.20,-0.60,-0.00,9.50,5.70,0.90
2000,3.60,7.00,4.10,-0.20,4.20,-0.90,-1.40,3.70,1.80,3.30,-6.60,-11.00,0.50
1999,-1.10,8.30,-1.00,-0.80,-0.70,-2.40,3.00,-1.40,-2.00,0.40,7.70,4.90,1.10
1998,1.00,7.30,-7.80,-0.70,3.80,-2.20,0.30,0.90,5.30,2.70,4.70,4.10,1.60
1997,-4.00,0.80,2.00,-6.50,-4.80,0.00,0.00,-1.70,1.60,0.60,-3.10,2.70,-1.00
1996,-6.20,1.40,-7.10,-1.70,-3.00,0.40,-3.80,-3.00,-2.80,0.90,-6.30,-3.70,-2.90
1995,-1.00,3.50,-0.70,-4.00,-5.70,-1.70,0.50,4.20,-2.10,-0.10,-4.00,1.40,-0.80
1994,-3.80,-7.20,1.40,-1.30,0.60,1.00,-5.00,-3.60,0.10,0.40,1.60,1.50,-1.10
1993,-7.30,-8.40,-4.20,-4.10,-2.00,-3.60,-1.60,-0.30,-6.40,-2.90,-3.80,3.70,-3.30
1992,9.80,8.30,3.60,-0.10,-0.10,-3.10,-4.80,-5.10,-0.50,0.60,-5.10,-0.40,0.20
1991,-6.50,8.60,4.10,3.00,4.30,4.00,0.50,0.90,1.60,-0.30,-7.20,6.80,1.60
1990,9.20,2.70,2.60,-0.50,-2.80,2.70,-1.10,1.40,4.50,1.80,5.80,-3.40,1.90
1989,8.90,-12.70,-1.30,3.20,-0.10,-2.10,0.70,-0.30,-2.70,1.20,-1.10,-7.80,-1.10
1988,-3.10,-3.10,1.20,-0.60,5.30,5.20,0.20,3.00,1.60,-2.50,2.40,4.90,1.20
1987,5.00,8.20,1.70,3.50,5.00,3.20,1.80,-2.50,-0.30,-4.80,5.00,5.50,2.60
1986,8.00,-2.80,5.70,1.60,0.80,2.80,1.00,-4.30,2.40,0.40,-3.30,3.70,1.40
1985,-4.50,-6.50,2.50,3.30,2.20,-3.60,-1.60,-4.00,-2.50,0.60,-9.90,-5.40,-2.40
1984,-2.80,7.00,-6.70,-3.20,-3.20,0.80,-0.10,2.70,-3.00,-0.00,1.20,1.10,-0.50
1983,2.30,2.50,-0.70,-6.30,-4.20,-0.90,3.50,8.10,3.20,1.60,0.40,-18.70,-0.80
1982,-12.70,-5.60,-3.80,-3.30,1.10,-5.90,1.30,-1.20,-0.90,1.40,-2.10,3.10,-2.30
1981,3.50,2.40,2.70,7.10,-2.50,2.30,1.00,-3.00,-0.10,-1.10,3.20,-1.90,1.10
1980,-1.20,-6.90,-4.90,0.60,0.50,1.70,4.60,3.50,0.80,-1.40,3.60,1.80,0.30
1979,-17.40,-16.00,-1.70,-2.00,-2.60,-0.50,-2.60,-0.10,2.60,1.20,-1.60,5.50,-2.80
1978,-14.70,-15.90,-6.50,-0.30,-2.30,-1.00,-0.80,-0.40,3.10,-1.10,-2.40,-4.50,-3.80
1977,-11.60,2.70,3.30,5.00,6.10,1.70,3.30,-3.10,0.40,-1.80,-0.60,-1.70,0.30
1976,-0.40,7.90,-0.90,2.70,-3.40,-1.00,0.50,0.90,0.80,-6.00,-6.80,-2.50,-0.70
1975,-3.00,-8.90,-9.50,-3.20,1.10,-1.70,0.90,4.20,-4.40,4.10,0.60,3.10,-1.30
1974,-9.00,2.10,2.00,0.20,-0.20,-1.70,6.20,-4.60,-5.10,2.90,0.40,0.10,-0.50
1973,-1.20,-0.60,2.50,-2.10,-3.30,0.70,-2.60,1.90,-2.80,2.90,0.10,-5.00,-0.80
1972,-3.80,-4.00,1.40,-2.10,-1.60,-1.40,-3.50,-3.00,-0.90,-4.20,-2.70,-5.20,-2.60
1971,-7.90,-5.80,-4.70,1.30,-3.50,4.20,-3.60,-0.50,-0.10,3.80,-1.60,2.50,-1.30
1970,-7.70,3.90,-4.00,1.30,5.10,0.80,0.40,1.20,-1.00,-3.10,-1.80,1.70,-0.30
1969,-7.00,-4.50,-9.60,1.50,1.10,-4.50,0.10,0.10,1.60,-4.20,1.20,-2.60,-2.20
1968,-2.10,-1.40,4.20,0.50,-4.00,1.70,-0.60,-0.60,-1.60,1.80,-3.10,-4.90,-0.80
1967,-1.50,-0.10,3.60,2.70,-2.80,-2.00,-4.20,-4.70,-4.00,-1.70,-1.30,1.20,-1.20
1966,-6.90,-1.80,2.50,-5.00,-1.10,-0.30,3.90,-3.20,-2.70,1.40,-0.40,-0.30,-1.10
1965,-2.60,-8.40,-13.70,1.30,4.70,-1.00,-2.00,0.10,-5.50,2.90,2.70,8.00,-1.10
1964,5.60,0.90,-5.00,1.10,5.50,-2.10,3.30,-3.60,-0.30,-0.20,1.90,-1.80,0.50
1963,-10.60,2.10,3.20,1.70,1.20,4.20,1.40,0.60,1.90,11.00,6.10,-7.40,1.30
1962,-4.50,-2.20,-7.50,-0.20,7.80,-1.00,-1.80,1.20,-1.30,3.50,1.90,1.50,-0.20
1961,0.80,3.30,0.30,-4.40,-3.60,-1.60,-1.00,0.60,-2.90,3.80,-0.20,-5.60,-0.90
1960,-3.40,-8.60,-15.80,2.10,0.10,-2.10,-1.50,1.30,3.00,3.40,1.90,2.30,-1.40
1959,-4.10,-3.80,-0.00,-0.50,1.10,2.50,-2.90,5.80,-0.20,-2.10,-5.10,8.20,-0.00
1958,1.80,-6.30,-5.60,-1.40,2.70,-2.00,-3.70,1.10,2.30,4.20,3.20,0.40,-0.20
