Year,Name, MeanAvgTemperature, mcnt
1940,DUNCAN, M,7219
1940,MERRIMAN, M,495
1940,MCCOOK, M,164
1940,NORFOLK CY AUDITORIUM, M,6938
1940,NORFOLK KARL STEFAN AP, M,2101
1940,LEXINGTON KELLY FLD, M,4229
1940,LEXINGTON 7 ESE, M,5538
1940,TRYON, M,2558
1940,Scottsbluff Area, M,90
1940,Grand Island Area,50.5,0
1940,North Platte Area,49.5,0
1940,Lincoln Area,51.6,2
1940,Norfolk Area, M,102
1940,Omaha Area,51.4,1
1940,Valentine Area, M,6
1940,OMAHA WSFO, M,5387
1940,CLAY CTR 6 ESE, M,230
1940,OMAHA EPPLEY AIRFIELD,51.4,1
1940,CHADRON MUNI AP, M,44
1940,BURWELL, M,3090
1940,FALLS CITY, M,52
1940,FALLS CITY BRENNER FLD, M,141
1940,ENDERS LAKE, M,4272
1940,GENEVA, M,51
1940,MINDEN, M,140
1940,HAYES CENTER, M,192
1940,IMPERIAL MUNI AP, M,4197
1940,IMPERIAL, M,226
1940,HASTINGS 4 N, M,211
1940,FAIRMONT, M,607
1940,CURTIS 3 NNE, M,302
1940,CRETE, M,254
1940,NEBRASKA CITY 1 NW, M,75
1940,SYRACUSE, M,700
1940,FRIEND 3E, M,6462
1940,KEARNEY MUNI AP, M,7216
1940,KEARNEY 4 NE, M,212
1940,ELM CREEK 1 SSW, M,3413
1940,MC COOL JUNCTION, M,7306
1940,LEXINGTON, M,3817
1940,LINCOLN UNIV PWR PLT, M,5722
1940,LINCOLN UNIV CAMPUS, M,1145
1940,LINCOLN UNIV FARM, M,7072
1940,WEEPING WATER, M,85
1940,LINCOLN AGRNMY FARM, M,12
1940,LINCOLN AFB, M,3832
1940,FREMONT, M,135
1940,ARCADIA, M,7306
1940,BROKEN BOW 2 W, M,304
1940,STAPLETON 5 SSE, M,153
1940,OSHKOSH, M,135
1940,COLUMBUS 3 NE, M,221
1940,GENOA 2 W, M,265
1940,NORTH LOUP, M,261
1940,BLAIR, M,324
1940,GREELEY, M,4887
1940,COMSTOCK, M,7292
1940,ARTHUR, M,280
1940,ALBION, M,555
1940,BRIDGEPORT, M,172
1940,DODGE, M,7255
1940,HOWELLS, M,7305
1940,CLARKSON, M,450
1940,TEKAMAH, M,479
1940,CRESCENT LAKE, M,671
1940,WEST POINT, M,361
1940,MADISON 2W, M,166
1940,ERICSON 6 WNW, M,7306
1940,SCOTTSBLUFF HEILIG AP, M,90
1940,HALSEY 2 W, M,320
1940,MINATARE DAM, M,2697
1940,STANTON, M,155
1940,MITCHELL 5 E, M,188
1940,LINCOLN MUNI AP, M,4933
1940,YORK, M,87
1940,AURORA, M,5911
1940,MADRID, M,313
1940,SEWARD, M,279
1940,UTICA, M,7306
1940,GOTHENBURG, M,68
1940,GRAND ISLAND AP,50.5,0
1940,CAIRO, M,7306
1940,RAVENNA, M,91
1940,ASHLAND 2, M,936
1940,NORTH PLATTE EXP FM, M,6880
1940,BIG SPRINGS, M,488
1940,BELLEVUE OFFUTT AFB, M,3303
1940,CENTRAL CITY, M,280
1940,NORTH PLATTE RGNL AP, M,2922
1940,NORTH PLATTE, M,3778
1940,OGALLALA, M,78
1940,SIDNEY MUNI AP, M,2934
1940,SIDNEY 6 NNW, M,245
1940,OSCEOLA, M,358
1940,LODGEPOLE, M,433
1940,SAINT PAUL, M,55
1940,KINGSLEY DAM, M,280
1940,KIMBALL 2NE, M,268
1940,ELKHORN 1 NW, M,7275
1940,DAVID CITY, M,234
1940,LOUP CITY, M,257
1940,CANADAY STEAM PLT, M,4173
1940,HARDY, M,6758
1940,SUPERIOR 4E, M,7305
1940,HAIGLER, M,4771
1940,PAWNEE CITY 5 SE, M,5491
1940,NAPONEE, M,7306
1940,HARLAN CO LAKE, M,3754
1940,LEBANON, M,7306
1940,TRENTON 8 SSW, M,7275
1940,BENKELMAN, M,242
1940,PAWNEE CITY, M,166
1940,WYMORE, M,7305
1940,FAIRBURY, M,351
1940,RED CLOUD, M,116
1940,FRANKLIN, M,482
1940,ALMA, M,419
1940,BEAVER CITY, M,183
1940,HEBRON, M,261
1940,TRENTON DAM, M,3469
1940,STRATTON, M,7275
1940,NELSON, M,153
1940,CULBERTSON, M,69
1940,BEATRICE, M,340
1940,ROSEMONT 2 S, M,2080
1940,OXFORD, M,4364
1940,CAMBRIDGE, M,578
1940,INDIANOLA 2 N, M,5701
1940,BRUNING STATE AP, M,6868
1940,SEDAN, M,7306
1940,AUBURN 5 ESE, M,965
1940,TECUMSEH, M,76
1940,MEDICINE CREEK DAM, M,4312
1940,HOLDREGE, M,45
1940,HOLDREGE 1 E, M,7155
1940,NORFOLK, M,5307
1940,HYANNIS, M,302
1940,OAKDALE, M,212
1940,EWING 12 S, M,7276
1940,CHAMBERS, M,164
1940,PURDUM, M,151
1940,MULLEN, M,928
1940,ALLIANCE, M,129
1940,BOX BUTTE EXP STN, M,303
1940,WALTHILL, M,533
1940,ELSMERE, M,6057
1940,WAKEFIELD, M,354
1940,EWING, M,172
1940,MULLEN 21 NW, M,5366
1940,NE NEBRASKA EXP STN, M,6398
1940,OSMOND, M,522
1940,CREIGHTON, M,5679
1940,ONEILL AFB, M,7277
1940,O NEILL, M,829
1940,ATKINSON 3SW, M,744
1940,AINSWORTH, M,26
1940,VALENTINE NWR, M,3134
1940,HARTINGTON, M,50
1940,NEWPORT, M,734
1940,NENZEL 20 S, M,1202
1940,HAY SPRINGS, M,47
1940,FT ROBINSON, M,811
1940,HARRISON, M,196
1940,NIOBRARA, M,1108
1940,SPRINGVIEW, M,2829
1940,GORDON 6 N, M,381
1940,VALENTINE MILLER FLD, M,6
1940,BUTTE, M,85
