Name, MeanAvgTemperature, mcnt
GORDON 3 W, M, 2767
CHAPPELL, M, 2194
BAYARD 4 NNE, M, 2671
OMAHA EPPLEY AIRFIELD, 51.4, 1
CHADRON MUNI AP, M, 2046
CHADRON 3 SW, M, 241
BURWELL, M, 655
FALLS CITY BRENNER FLD, M, 32
AGATE NEBRASKA, M, 1347
BESSY NEBRASKA, M, 268
BRAVO 01 NEBRASKA, M, 3196
CRESCENT LAKE NEBRASKA, M, 2518
ECHO 01 NEBRASKA, M, 2059
FOX 01 NEBRASKA, M, 3043
KINGS CANYON NEBRASKA, M, 261
SCOTTS BLUFF NEBRASKA, M, 2473
VALENTINE NEBRASKA, M, 3233
WAUNETA, M, 2290
ENDERS LAKE, M, 1237
GENEVA, M, 35
MINDEN, M, 37
HAYES CENTER, M, 55
IMPERIAL MUNI AP, M, 2015
IMPERIAL, M, 374
HASTINGS 4 N, M, 58
HICKMAN, M, 3654
FAIRMONT, M, 152
CURTIS 3 NNE, M, 436
CRETE, M, 484
NEBRASKA CITY 2NW, M, 342
SYRACUSE, M, 39
ROCA 6NNE, M, 3654
EUSTIS 2 NW, M, 2436
MOOREFIELD, M, 2496
BENNET, M, 3642
KEARNEY MUNI AP, M, 3289
KEARNEY 4 NE, M, 32
LINCOLN UNIV PWR PLT, M, 2442
WALLACE 2 W, M, 117
WEEPING WATER, M, 73
MERRIMAN, M, 375
FRANKLIN 2, M, 80
NENZEL 23 SSW, M, 3343
OVERTON 3 W, M, 1777
BEATRICE 1N, M, 53
CRAWFORD, M, 1726
CROFTON, M, 10
BENKELMAN 1SW, M, 3650
BENKELMAN 2 SSW, M, 3650
PAPILLION, M, 3654
STAPLETON 5 W, M, 18
NEBRASKA CITY 2, M, 3635
OXFORD 7 NW, M, 168
VALLEY 1 WNW, M, 149
SPRINGFIELD 7 E, M, 2227
RULO 2W, M, 2436
GRAND ISLAND, M, 1428
TRYON 15 NW, M, 3623
GRETNA 4 NE, M, 2060
HYANNIS 5N, M, 1041
ASHBY 20 SSW, M, 3463
IMPERIAL 13 N, M, 3066
KILGORE 1 NE, M, 1521
NORTH PLATTE 10 S, M, 1835
VALENTINE #1, M, 1814
NORFOLK 4W, M, 1180
LODGEPOLE 8N, M, 1417
SWAN LAKE, M, 1533
MC COOK, M, 169
MCCOOK MUNI AP, M, 752
NORFOLK KARL STEFAN AP, 49.6, 0
CLAY CTR, M, 237
BENNINGTON 3 WSW, M, 3654
FREMONT, M, 59
BROKEN BOW #2, M, 3617
BROKEN BOW 2 W, M, 113
ARNOLD, M, 631
OSHKOSH, M, 134
DALTON, M, 27
BROKEN BOW MUNI AP, M, 1688
SCHUYLER, M, 3654
COLUMBUS 3 NE, M, 36
GENOA 2 W, 51.0, 3
NORTH LOUP, M, 41
BLAIR, M, 1091
GREELEY, M, 68
COMSTOCK, M, 1193
ARTHUR, M, 91
ANSELMO 2 SE, M, 51
ORD EVELYN SHARP FLD, M, 2056
ALBION, M, 208
BRIDGEPORT, M, 55
HARRISBURG 12WNW, M, 41
UEHLING, M, 3654
HOWELLS, M, 1014
CLARKSON, M, 395
TEKAMAH, M, 127
LORETTO 7W, M, 3654
CRESCENT LAKE, M, 267
WEST POINT, M, 34
MADISON 2W, M, 197
ERICSON 6 WNW, M, 244
BARTLETT 1S, M, 388
SCOTTSBLUFF HEILIG AP, 49.1, 2
STANTON, M, 811
ELGIN, M, 139
BREWSTER, M, 1321
MITCHELL 5 E, M, 1384
LINCOLN MUNI AP, 51.6, 0
YORK, M, 64
AURORA, M, 203
MADRID, M, 114
SEWARD, M, 125
UTICA, M, 3654
GOTHENBURG, M, 43
RAYMOND 2NE, M, 1919
GRAND ISLAND AP, 51.0, 1
RAVENNA, M, 81
ASHLAND 2, M, 43
SURPRISE, M, 90
OCONTO, M, 256
NORTH PLATTE EXP FM, M, 71
BIG SPRINGS, M, 398
CENTRAL CITY, M, 223
NORTH PLATTE RGNL AP, 49.2, 0
OGALLALA, M, 124
SIDNEY MUNI AP, M, 583
SIDNEY 6 NNW, M, 392
MEAD 6 S, M, 45
OSCEOLA, M, 27
HERSHEY 5 SSE, M, 348
LODGEPOLE, M, 65
WAHOO, M, 430
SAINT PAUL, M, 47
MASON CITY, M, 74
KINGSLEY DAM, M, 103
POTTER, M, 865
KIMBALL 2NE, M, 11
BUSHNELL, M, 3644
BOYS TOWN, M, 3654
DAVID CITY, M, 18
LOUP CITY, M, 323
HASTINGS MUNI AP, M, 581
TEKAMAH MUNI AP, M, 623
CANADAY STEAM PLT, M, 116
SUPERIOR 4E, M, 22
HAIGLER, M, 884
HARLAN CO LAKE, M, 475
BENKELMAN, M, 10
PAWNEE CITY, M, 376
WYMORE, M, 3654
FAIRBURY, M, 125
RED CLOUD, M, 85
BEAVER CITY, M, 50
HEBRON, M, 222
TRENTON DAM, M, 17
TABLE ROCK 4 N, M, 2278
CULBERTSON, M, 14
VIRGINIA, M, 61
BEATRICE, M, 3478
CAMBRIDGE, M, 267
RAGAN, M, 214
AUBURN 5 ESE, M, 43
TECUMSEH, M, 278
MEDICINE CREEK DAM, M, 392
RED WILLOW DAM, M, 163
HOLDREGE, M, 130
SCOTTSBLUFF 1 E, M, 2662
BRIDGEPORT 18WSW, M, 2603
BROADWATER 3WNW, M, 2594
FT CALHOUN 4W, M, 2702
BUSHNELL 15S, M, 2769
SCOTTSBLUFF 10 N, M, 3221
PLAINSVIEW RCH, M, 2950
DALTON 13W, M, 2980
ANGORA 8 NE, M, 3011
HARRISON 9 NE, M, 3106
AGATE 5N, M, 3219
STANTON 7 NE, M, 3137
HARRISON 4 NW, M, 3311
CHADRON 3 NE, M, 3161
WESTON 3NW, M, 3354
HARRISON 20 SSE, M, 3162
LINCOLN 8 ENE, M, 2604
LINCOLN 11 SW, M, 2603
PLATTSMOUTH 1E, M, 3654
WHITMAN 5 ENE, M, 3542
TRYON, M, 1568
Scottsbluff Area, 49.1, 2
Grand Island Area, 51.0, 1
North Platte Area, 49.2, 0
Lincoln Area, 51.6, 0
Norfolk Area, 49.6, 0
Omaha Area, 51.4, 1
Valentine Area, 48.3, 5
OMAHA #1, M, 924
OMAHA WSFO, M, 1068
