Name, TotalSnowfall, mcnt
CLAY CTR 6 ESE, M, 22
OMAHA EPPLEY AIRFIELD, M, 247
CHADRON MUNI AP, M, 3614
CHADRON 3 SW, M, 276
BURWELL, M, 60
FALLS CITY BRENNER FLD, M, 1544
HASTINGS 2.3 N, M, 3594
KENESAW 2.4 W, M, 3617
CEDAR RAPIDS 4.1 SSW, M, 3581
PETERSBURG 7.9 W, M, 3595
JUNIATA 1.5 S, M, 3600
JUNIATA 6.0 SSW, M, 3556
HOLSTEIN 0.1 NW, M, 3591
AYR 3.5 NE, M, 3594
ROSELAND 2.8 SW, M, 3408
HASTINGS 5.4 WSW, M, 3607
LONG PINE 0.4 W, M, 3603
PLEASANTON 1.4 ENE, M, 3474
AMHERST 3.1 WNW, M, 3632
RISING CITY 3.1 WNW, M, 3523
IMPERIAL 7.3 WNW, M, 3587
VENANGO 11.5 SE, M, 3611
LAMAR 1.7 SSW, M, 3470
IMPERIAL 5.4 WNW, M, 3488
IMPERIAL 10.4 NW, M, 3642
MULLEN 21.4 N, M, 3624
THEDFORD 11.8 NNE, M, 3646
DALTON 0.2 NE, M, 3510
SIDNEY 17.9 E, M, 3636
SIDNEY 9.1 ESE, M, 3598
LODGEPOLE 6.9 NW, M, 3583
SIDNEY 9.9 ENE, M, 3599
DALTON 7.6 WSW, M, 3612
POTTER 3.9 NE, M, 3638
POTTER 6.6 ESE, M, 3529
SIDNEY 17.2 WSW, M, 3616
OCONTO 0.9 ESE, M, 3553
ANSLEY 0.4 E, M, 3515
ANSELMO 6.1 E, M, 3633
BROKEN BOW 12.3 S, M, 3607
CHAPPELL 0.2 N, M, 3591
BIG SPRINGS 0.8 W, M, 3621
BENKELMAN 10.4 E, M, 3600
NORTH PLATTE 1.9 WNW, M, 3567
SUTHERLAND 10.6 S, M, 3482
NORTH PLATTE 3.1 SSW, M, 3618
NORTH PLATTE 4.6 S, M, 3599
STAPLETON 8.1 SSE, M, 3552
NORTH PLATTE 12.7 NE, M, 3585
NORTH PLATTE 4.8 NE, M, 3546
NORTH PLATTE 6.2 N, M, 3609
NORTH PLATTE 5.9 WSW, M, 3557
SUTHERLAND 1.4 W, M, 3396
STAPLETON 9.1 NNW, M, 3599
STAPLETON 0.2 SE, M, 3631
BURWELL 8.2 WNW, M, 3631
STAPLETON 17.1 NW, M, 3581
SUTHERLAND 35.0 NNW, M, 3617
PALMER 0.2 ESE, M, 3434
SILVER CREEK 0.3 N, M, 3641
CHAPMAN 3.4 SW, M, 3633
BURCHARD 6.3 NNW, M, 3642
GRANT 10.2 W, M, 3538
VENANGO 0.2 WSW, M, 3497
GRANT 5.0 SE, M, 3611
FUNK 6.7 NNW, M, 3491
STROMSBURG 6.1 W, M, 3542
MCCOOK 1.5 ESE, M, 3653
MCCOOK 0.8 WNW, M, 3637
FRIEND 1.2 E, M, 3620
TOBIAS 4.9 NE, M, 3636
CRETE 2.4 NE, M, 3645
WILBER 0.3 WNW, M, 3643
MINATARE 3.2 NE, M, 3477
LYMAN 0.2 ENE, M, 3537
MITCHELL 2.3 WNW, M, 3610
GERING 1.0 ESE, M, 3632
HEBRON 0.8 SW, M, 3425
BRUNING 2.0 SW, M, 3502
ALEXANDRIA 0.1 WNW, M, 3517
THEDFORD 11.4 WSW, M, 3619
ORD 1.4 NW, M, 3527
BURWELL 8.3 S, M, 3560
ORD 9.1 SSE, M, 3609
LAWRENCE 3.8 SSW, M, 3556
YORK 0.9 SW, M, 3602
YORK 4.6 WNW, M, 3604
EXETER 7.3 NNE, M, 3566
GRESHAM 1.7 WNW, M, 3596
BRADSHAW 6.4 N, M, 3592
HENDERSON 2.5 N, M, 3639
HENDERSON 4.6 ENE, M, 3502
GORDON 3 W, M, 2718
CHAPPELL, M, 2148
GRANT 2 N, M, 2766
GROSS 1 E, M, 2290
BAYARD 4 NNE, M, 2630
MCCOOK, M, 31
WAUNETA, M, 271
ENDERS LAKE, M, 478
STERLING, M, 37
WILBER 3 W, M, 3633
ELWOOD 8 S, M, 32
FIRTH, M, 1533
GENEVA, M, 148
MINDEN, 228.5, 10
BERTRAND, M, 38
STOCKVILLE, 164.2, 3
HAYES CENTER, 281.8, 6
IMPERIAL MUNI AP, M, 3555
IMPERIAL, M, 419
HALLAM 2 N, M, 3321
HASTINGS 4 N, 295.4, 0
LAMAR, M, 714
HICKMAN, 312.7, 5
SPRAGUE, M, 2055
CRETE, M, 3644
FAIRMONT, M, 124
CURTIS 3 NNE, M, 1606
CRETE, M, 169
NEBRASKA CITY 2NW, M, 263
SYRACUSE, M, 26
ROCA 6NNE, M, 727
FRIEND 3E, M, 37
EUSTIS 2 NW, 261.6, 4
MOOREFIELD, M, 63
BENNET, M, 1555
KEARNEY MUNI AP, M, 3288
KEARNEY 4 NE, 217.1, 1
MC COOL JUNCTION, M, 402
GIBBON 3 ENE, M, 3641
WELLFLEET, 199.4, 2
UNION 2 SE, M, 3600
LINCOLN UNIV PWR PLT, M, 2358
EMERALD 1 W, M, 2884
WOOD RIVER 1 NNW, M, 1405
RIVERDALE 2 NW, M, 3628
COZAD 2 S, M, 3570
WALLACE 2 W, M, 24
WEEPING WATER, M, 95
LINCOLN MUNI AP, M, 248
YORK, M, 46
BRADSHAW, 288.4, 1
AURORA, M, 38
MADRID, M, 155
MALCOLM, 270.1, 1
SEWARD, 223.6, 5
UTICA, 205.1, 9
CAIRO 5 S, M, 3642
MILLER, M, 29
GOTHENBURG, M, 303
RAYMOND 2NE, M, 31
STAPLEHURST, M, 3320
GRESHAM 3W, M, 29
GRAND ISLAND AP, M, 269
RAVENNA, M, 34
ASHLAND 2, 242.6, 10
VALPARAISO, M, 2817
ULYSSES, M, 1349
SURPRISE, M, 17
POLK, M, 13
OCONTO, M, 205
NORTH PLATTE EXP FM, M, 65
BIG SPRINGS, M, 1764
CENTRAL CITY, M, 193
NORTH PLATTE RGNL AP, 236.4, 5
PAXTON, M, 207
OGALLALA, M, 62
SIDNEY MUNI AP, M, 3614
SIDNEY 6 NNW, M, 128
MEAD 6 S, M, 17
ITHACA, M, 3581
OSCEOLA, 275.3, 1
