County Name,FIPS Code,Total2014,Total2012,Total2010,Total2008,Total2006,Total2004,Total2002,Total2000,NP2014,NP2012,NP2010,NP2008,NP2006,NP2004,NP2002,NP2000,GOP2014,GOP2012,GOP2010,GOP2008,GOP2006,GOP2004,GOP2002,GOP2000,Dem2014,Dem2012,Dem2010,Dem2008,Dem2006,Dem2004,Dem2002,Dem2000
Total State,,1158840,1136365,1142057,1157345,1138422,1160193,1083544,1085217,235922,218804,212461,195459,187060,177947,152874,153088,559364,547366,549011,558308,573016,575778,543935,537605,357835,368129,380252,393468,370724,396764,381991,392344
ADAMS,001,18688,18256,18528,19136,19976,20428,19655,19336,3294,2985,2971,2789,2918,2880,2628,2547,10260,9946,10017,10282,10938,10968,10626,10405,5046,5290,5534,5944,6030,6441,6334,6336
ANTELOPE,003,4550,4575,4687,4759,4700,4833,4694,4772,554,549,538,490,437,424,363,379,3069,2950,3002,3012,3025,3098,2985,2937,923,1076,1147,1238,1224,1305,1344,1454
ARTHUR,005,325,326,347,342,343,329,316,333,11,11,11,11,16,15,13,17,273,271,284,265,267,253,238,250,41,44,52,66,60,60,65,65
BANNER,007,534,514,530,553,543,559,566,571,53,52,53,46,39,33,41,43,441,412,424,442,446,472,464,444,36,49,53,62,57,53,61,84
BLAINE,009,376,377,394,390,377,395,422,433,30,25,24,25,19,25,31,22,300,304,314,290,260,310,327,334,45,48,56,74,98,59,64,76
BOONE,011,3814,3924,3954,4067,4026,4107,4169,4181,407,398,408,385,360,382,350,400,2380,2417,2390,2475,2494,2420,2468,2343,1022,1107,1156,1203,1172,1304,1349,1437
BOX BUTTE,013,7512,7692,7755,8059,7805,9437,9313,9132,1365,1323,1287,1190,1078,1329,1276,1336,4102,4095,4116,4291,4325,4993,4947,4625,2009,2262,2349,2485,2333,3043,3048,3156
BOYD,015,1470,1499,1501,1568,1562,1743,1715,1884,129,131,129,126,125,133,117,133,1067,1042,1034,1040,1034,1127,1103,1202,270,323,338,395,401,476,490,548
BROWN,017,2149,2152,2249,2369,2415,2541,2456,2441,188,197,224,218,221,237,219,218,1661,1625,1662,1731,1779,1821,1748,1756,298,330,363,408,408,474,479,465
