GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CBGROUP.id,CBGROUP.display-label,HUSBWIFE.id,HUSBWIFE.display-label,YEAR.id,FIRMALL,FIRMALL_PCT,RCPALL,RCPALL_PCT,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMNOPD,FIRMNOPD_PCT,RCPNOPD,RCPNOPD_PCT,FIRMALL_S,FIRMALL_PCT_S,RCPALL_S,RCPALL_PCT_S,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S,FIRMNOPD_S,FIRMNOPD_PCT_S,RCPNOPD_S,RCPNOPD_PCT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS code,Meaning of 2007 NAICS code,Id,"Gender, ethnicity, race, and veteran status code","Meaning of Gender, ethnicity, race, and veteran status code",Husband and wife jointly-owned/operated business code,Meaning of Husband and wife jointly-owned/operated business code,Year,Number of firms with or without paid employees,Percent of number of respondent firms with or without paid employees (%),"Sales, receipts, or value of shipments of firms with or without paid employees ($1,000)","Percent of sales, receipts, or value of shipments of respondent firms with or without paid employees (%)",Number of firms with paid employees,Percent of number of respondent firms with paid employees (%),"Sales, receipts, or value of shipments of firms with paid employees ($1,000)","Percent of sales, receipts, or value of shipments of respondent firms with paid employees (%)",Number of paid employees for pay period including March 12,Percent of number of paid employees of respondent employer firms for pay period including March 12 (%),"Annual payroll ($1,000)",Percent of annual payroll of respondent employer firms (%),Number of firms without paid employees,Percent of number of respondent firms without paid employees (%),"Sales, receipts, or value of shipments of firms without paid employees ($1,000)","Percent of sales, receipts, or value of shipments of respondent firms without paid employees (%)",Relative standard error of number of firms with or without paid employees (%),Standard error of percent of number of respondent firms with or without paid employees (%),"Relative standard error of sales, receipts, or value of shipments of firms with or without paid employees (%)","Standard error of percent of sales, receipts, or value of shipments of respondent firms with or without paid employees (%)",Relative standard error of number of firms with paid employees (%),Standard error of percent of number of respondent firms with paid employees (%),"Relative standard error of sales, receipts, or value of shipments of firms with paid employees (%)","Standard error of percent of sales, receipts, or value of shipments of respondent firms with paid employees (%)",Relative standard error of number of paid employees for pay period including March 12 (%),Standard error of percent of number of paid employees of respondent employer firms for pay period including March 12 (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll of respondent employer firms (%),Relative standard error of number of firms without paid employees (%),Standard error of percent of number of respondent firms without paid employees (%),"Relative standard error of sales, receipts, or value of shipments of firms without paid employees (%)","Standard error of percent of sales, receipts, or value of shipments of respondent firms without paid employees (%)"
0100000US,,United States,,00,Total for all sectors,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,00,Total for all sectors,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,00,Total for all sectors,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,11,"Agriculture, forestry, fishing and hunting",F7$601,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,11,"Agriculture, forestry, fishing and hunting",F7$601,0003,Equally male-/female-owned,BJ,Not jointly owned by a husband and wife,2007,,,,,,,,,,,,,E$S,E$S,E$S,E$S,,,,,,,,,,,,,E$S,E$S,E$S,E$S
0100000US,,United States,,11,"Agriculture, forestry, fishing and hunting",F7$601,0003,Equally male-/female-owned,BL,Item not reported,2007,E$S,E$X,E$S,E$X,E$S,E$X,E$D,E$X,E$b,E$X,E$D,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$D,E$X,E$D,E$X,E$D,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,11,"Agriculture, forestry, fishing and hunting",F7$601,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,21,"Mining, quarrying, and oil and gas extraction",,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,21,"Mining, quarrying, and oil and gas extraction",,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X
