FIPS,NaturalAmenityScale
27125,-6.40
27167,-6.10
18159,-5.40
27107,-5.37
27099,-5.18
38067,-5.18
38097,-5.12
27039,-5.08
38035,-5.01
27113,-4.97
27069,-4.90
19075,-4.86
38017,-4.84
18007,-4.71
17019,-4.55
19119,-4.49
19109,-4.47
19191,-4.44
18023,-4.37
55019,-4.34
27135,-4.30
27133,-4.25
19141,-4.23
17147,-4.21
38073,-4.21
27071,-4.20
19069,-4.18
27027,-4.17
19089,-4.16
27117,-4.13
19131,-4.10
19065,-4.09
19081,-4.06
19091,-4.05
27089,-4.05
31185,-4.05
19067,-4.03
17053,-4.02
31179,-4.02
17075,-4.00
31059,-4.00
38095,-3.99
18075,-3.98
21213,-3.98
27173,-3.98
18139,-3.97
27109,-3.96
17105,-3.95
19107,-3.95
38099,-3.95
19023,-3.94
39101,-3.93
26057,-3.92
46083,-3.91
27129,-3.90
17107,-3.89
17175,-3.87
19095,-3.84
30019,-3.82
19189,-3.81
38077,-3.81
18145,-3.76
27119,-3.76
17177,-3.75
19079,-3.74
27151,-3.74
27159,-3.74
18179,-3.73
18135,-3.72
21087,-3.72
38063,-3.72
39033,-3.71
19127,-3.70
19167,-3.70
39137,-3.70
31103,-3.69
18011,-3.68
27127,-3.67
19011,-3.66
17045,-3.65
19037,-3.65
19083,-3.63
20131,-3.62
46115,-3.62
18063,-3.61
18067,-3.61
38081,-3.61
39161,-3.60
46043,-3.59
17037,-3.58
18059,-3.58
26043,-3.58
17113,-3.57
18073,-3.57
27155,-3.57
39065,-3.57
19197,-3.56
38091,-3.56
18001,-3.55
18053,-3.54
19169,-3.54
38019,-3.52
19195,-3.51
17041,-3.50
39159,-3.50
26037,-3.49
18131,-3.48
26155,-3.48
46125,-3.48
18095,-3.47
46111,-3.47
19055,-3.45
19105,-3.45
46097,-3.45
38009,-3.44
17073,-3.43
27009,-3.43
27073,-3.43
18111,-3.42
19157,-3.42
27023,-3.42
46061,-3.42
55115,-3.40
55119,-3.39
26065,-3.38
55078,-3.38
31023,-3.37
39147,-3.37
31035,-3.36
18041,-3.35
18107,-3.35
19015,-3.35
19101,-3.35
