FIPS,NaturalAmenityScale
01001,0.78
01003,1.82
01005,0.19
01007,-0.15
01009,0.23
01011,-1.08
01013,-1.16
01015,0.22
01017,-0.34
01019,0.64
01021,0.38
01023,0.92
01025,1.26
01027,0.21
01029,0.21
01031,-0.66
01033,0.70
01035,-1.00
01037,1.59
01039,-0.17
01041,-0.91
01043,0.64
01045,-0.47
01047,-0.18
01049,-1.60
01051,2.11
01053,-0.03
01055,0.96
01057,-0.38
01059,0.16
01061,-0.51
01063,-0.04
01065,1.43
01067,0.07
01069,-0.79
01071,1.25
01073,0.51
01075,-0.85
01077,0.90
01079,0.54
01081,-0.24
01083,-0.42
01085,-0.41
01087,-0.56
01089,-1.25
01091,-0.72
01093,-0.31
01095,0.37
01097,1.52
01099,1.27
01101,-0.28
01103,1.09
01105,0.84
01107,0.13
01109,-0.93
01111,0.71
01113,-0.24
01115,1.39
01117,1.12
01119,-0.48
01121,1.34
01123,2.19
01125,0.50
01127,0.51
01129,-0.49
01131,1.58
01133,0.88
04001,3.45
04003,7.13
04005,4.93
04007,7.50
04009,5.20
04011,5.18
04012,4.24
04013,4.87
04015,5.84
04017,1.91
04019,4.04
04021,3.36
04023,5.95
04025,5.21
04027,4.24
05001,-0.87
05003,-1.12
05005,2.64
05007,2.39
05009,1.98
05011,-1.06
05013,-1.35
05015,1.75
05017,-0.45
05019,1.15
05021,-2.30
05023,2.19
05025,-1.59
05027,-1.63
05029,-0.42
05031,-2.24
05033,1.44
05035,-1.05
05037,-0.95
05039,-1.85
05041,-1.04
05043,-1.24
05045,-0.08
05047,2.05
05049,0.51
05051,1.64
05053,-1.77
05055,-2.00
05057,-0.65
05059,0.49
05061,0.99
05063,0.09
05065,1.44
05067,-1.85
05069,-1.08
05071,2.37
05073,-0.59
05075,-0.10
05077,-0.42
05079,-1.24
05081,-0.06
05083,1.75
05085,-0.79
05087,-0.43
05089,2.74
05091,-0.30
05093,-1.76
05095,-1.13
05097,1.32
05099,-2.12
05101,-0.26
05103,-0.88
05105,0.89
05107,-0.68
05109,1.15
05111,-2.26
05113,1.08
05115,2.29
05117,-0.86
05119,0.85
