Countyname,Wells
Hall,4364
Thayer,1533
Scotts Bluff,786
Dawson,3850
Adams,2262
Box Butte,1198
Keith,1150
Deuel,338
Holt,2779
Saline,1127
Cedar,704
Webster,652
Custer,2014
Cuming,419
Red Willow,1051
Merrick,5102
Kearney,2130
Fillmore,2133
Nuckolls,770
Dundy,1067
Furnas,891
Franklin,1113
Madison,884
York,2954
Hayes,480
Seward,1317
Hitchcock,585
Clay,2237
Phelps,2019
Buffalo,3969
Lincoln,2077
Dodge,1716
Jefferson,676
Boone,1461
McPherson,108
Butler,1290
Harlan,1114
Polk,1818
Platte,1877
Wayne,247
Chase,1448
Gosper,675
Morrill,916
Nemaha,51
Banner,417
Antelope,1933
Hamilton,3092
Wheeler,583
Nance,1123
Colfax,1022
Sherman,614
Thurston,105
Pierce,1097
Washington,122
Saunders,927
Valley,577
Sarpy,140
Greeley,729
Douglas,363
Dixon,165
Burt,486
Garfield,212
Gage,589
Cass,47
Howard,1052
Cherry,443
Sioux,336
Frontier,709
Logan,183
Knox,435
Rock,653
Garden,369
Keya Paha,189
Stanton,369
Lancaster,329
Perkins,918
Cheyenne,585
Kimball,366
Brown,460
Sheridan,637
Blaine,112
Grant,26
Johnson,165
Dakota,131
Otoe,45
Boyd,66
Arthur,90
Dawes,83
Loup,117
Thomas,37
Hooker,31
Richardson,28
Pawnee,1
