clean_County,Wells,Year,IrrigatedAcres
HALL,4364,2002-01-01,187021
THAYER,1533,2002-01-01,133066
SCOTTS BLUFF,786,2002-01-01,172955
DAWSON,3850,2002-01-01,225508
ADAMS,2262,2002-01-01,198555
BOX BUTTE,1198,2002-01-01,132854
KEITH,1150,2002-01-01,90981
DEUEL,338,2002-01-01,17026
HOLT,2779,2002-01-01,234509
SALINE,1127,2002-01-01,93517
CEDAR,704,2002-01-01,84511
WEBSTER,652,2002-01-01,48954
CUSTER,2014,2002-01-01,207230
CUMING,419,2002-01-01,43308
RED WILLOW,1051,2002-01-01,44528
MERRICK,5102,2002-01-01,176068
KEARNEY,2130,2002-01-01,215838
FILLMORE,2133,2002-01-01,201608
NUCKOLLS,770,2002-01-01,58449
DUNDY,1067,2002-01-01,88646
FURNAS,891,2002-01-01,68008
FRANKLIN,1113,2002-01-01,92791
MADISON,884,2002-01-01,97844
YORK,2954,2002-01-01,241525
HAYES,480,2002-01-01,50273
SEWARD,1317,2002-01-01,128347
HITCHCOCK,585,2002-01-01,31751
CLAY,2237,2002-01-01,201394
PHELPS,2019,2002-01-01,250548
BUFFALO,3969,2002-01-01,233569
LINCOLN,2077,2002-01-01,207412
DODGE,1716,2002-01-01,110641
JEFFERSON,676,2002-01-01,70768
BOONE,1461,2002-01-01,162088
MCPHERSON,108,2002-01-01,12574
BUTLER,1290,2002-01-01,110160
HARLAN,1114,2002-01-01,71750
POLK,1818,2002-01-01,143646
PLATTE,1877,2002-01-01,178523
WAYNE,247,2002-01-01,30482
CHASE,1448,2002-01-01,169176
GOSPER,675,2002-01-01,83431
MORRILL,916,2002-01-01,123031
NEMAHA,51,2002-01-01,4130
BANNER,417,2002-01-01,20329
ANTELOPE,1933,2002-01-01,225403
HAMILTON,3092,2002-01-01,267590
WHEELER,583,2002-01-01,46307
NANCE,1123,2002-01-01,54188
COLFAX,1022,2002-01-01,59064
SHERMAN,614,2002-01-01,61231
THURSTON,105,2002-01-01,9802
PIERCE,1097,2002-01-01,115069
WASHINGTON,122,2002-01-01,19536
SAUNDERS,927,2002-01-01,97241
VALLEY,577,2002-01-01,77861
SARPY,140,2002-01-01,9509
GREELEY,729,2002-01-01,61405
DOUGLAS,363,2002-01-01,12931
DIXON,165,2002-01-01,17280
BURT,486,2002-01-01,50701
GARFIELD,212,2002-01-01,13529
GAGE,589,2002-01-01,54112
CASS,47,2002-01-01,2137
HOWARD,1052,2002-01-01,103499
CHERRY,443,2002-01-01,34579
SIOUX,336,2002-01-01,39926
FRONTIER,709,2002-01-01,62811
LOGAN,183,2002-01-01,19010
KNOX,435,2002-01-01,45957
ROCK,653,2002-01-01,34388
GARDEN,369,2002-01-01,34781
KEYA PAHA,189,2002-01-01,15777
STANTON,369,2002-01-01,21309
LANCASTER,329,2002-01-01,17394
PERKINS,918,2002-01-01,121683
CHEYENNE,585,2002-01-01,51138
KIMBALL,366,2002-01-01,26783
BROWN,460,2002-01-01,52330
SHERIDAN,637,2002-01-01,51266
BLAINE,112,2002-01-01,9830
GRANT,26,2002-01-01,1158
JOHNSON,165,2002-01-01,12770
DAKOTA,131,2002-01-01,11042
OTOE,45,2002-01-01,4521
BOYD,66,2002-01-01,5531
ARTHUR,90,2002-01-01,7755
DAWES,83,2002-01-01,15017
LOUP,117,2002-01-01,9607
THOMAS,37,2002-01-01,2177
HOOKER,31,2002-01-01,5176
RICHARDSON,28,2002-01-01,1050
PAWNEE,1,2002-01-01,2686
