clean_County,Wells,Year,IrrigatedAcres
HALL,4323,1997-01-01,181222
THAYER,1454,1997-01-01,118987
SCOTTS BLUFF,747,1997-01-01,177186
DAWSON,3799,1997-01-01,222075
FRONTIER,681,1997-01-01,55780
ADAMS,2179,1997-01-01,189409
BOX BUTTE,1161,1997-01-01,136961
KEITH,1066,1997-01-01,79419
DEUEL,329,1997-01-01,16968
HOLT,2660,1997-01-01,210369
SALINE,1077,1997-01-01,75168
CEDAR,615,1997-01-01,62894
CUSTER,1931,1997-01-01,197726
CUMING,391,1997-01-01,32673
RED WILLOW,1015,1997-01-01,54166
MERRICK,5008,1997-01-01,166419
KEARNEY,2070,1997-01-01,191854
FILLMORE,2111,1997-01-01,199293
NUCKOLLS,722,1997-01-01,50239
DUNDY,1062,1997-01-01,84711
FURNAS,797,1997-01-01,55126
FRANKLIN,1032,1997-01-01,87966
MADISON,809,1997-01-01,80505
YORK,2912,1997-01-01,235474
HAYES,371,1997-01-01,34498
SEWARD,1275,1997-01-01,110550
HITCHCOCK,568,1997-01-01,30706
CLAY,2205,1997-01-01,184524
PHELPS,1972,1997-01-01,227877
BUFFALO,3876,1997-01-01,213778
LINCOLN,1932,1997-01-01,202479
DODGE,1673,1997-01-01,97724
JEFFERSON,624,1997-01-01,56292
BOONE,1365,1997-01-01,133006
MCPHERSON,105,1997-01-01,7498
BUTLER,1264,1997-01-01,97543
HARLAN,1027,1997-01-01,76614
POLK,1774,1997-01-01,136672
PLATTE,1780,1997-01-01,151985
CHASE,1451,1997-01-01,171217
GOSPER,635,1997-01-01,68267
MORRILL,826,1997-01-01,117045
NEMAHA,45,1997-01-01,3621
BANNER,389,1997-01-01,21998
ANTELOPE,1780,1997-01-01,185854
HAMILTON,3067,1997-01-01,244242
WHEELER,564,1997-01-01,48915
NANCE,1111,1997-01-01,60511
COLFAX,994,1997-01-01,53059
SHERMAN,581,1997-01-01,59487
WEBSTER,573,1997-01-01,37094
THURSTON,95,1997-01-01,6109
WAYNE,225,1997-01-01,18591
PIERCE,1029,1997-01-01,92535
WASHINGTON,114,1997-01-01,15676
SAUNDERS,876,1997-01-01,76671
VALLEY,569,1997-01-01,73340
SARPY,126,1997-01-01,8311
GREELEY,693,1997-01-01,57413
DOUGLAS,320,1997-01-01,15570
DIXON,154,1997-01-01,16232
BURT,473,1997-01-01,38330
GARFIELD,209,1997-01-01,14187
GAGE,566,1997-01-01,49024
HOWARD,1012,1997-01-01,111342
CHERRY,424,1997-01-01,43951
SIOUX,314,1997-01-01,41774
LOGAN,173,1997-01-01,15383
KNOX,401,1997-01-01,38770
ROCK,648,1997-01-01,40866
GARDEN,352,1997-01-01,38063
KEYA PAHA,177,1997-01-01,10514
STANTON,343,1997-01-01,24214
PERKINS,903,1997-01-01,128259
CHEYENNE,555,1997-01-01,50634
LANCASTER,301,1997-01-01,12951
KIMBALL,350,1997-01-01,24901
BROWN,457,1997-01-01,52168
SHERIDAN,625,1997-01-01,56545
BLAINE,111,1997-01-01,8595
GRANT,26,1997-01-01,1380
JOHNSON,155,1997-01-01,10326
OTOE,44,1997-01-01,4496
BOYD,58,1997-01-01,4926
ARTHUR,87,1997-01-01,16097
DAKOTA,117,1997-01-01,12125
DAWES,80,1997-01-01,15754
LOUP,114,1997-01-01,10375
THOMAS,37,1997-01-01,1956
HOOKER,31,1997-01-01,2795
RICHARDSON,21,1997-01-01,1554
HALL,4364,2002-01-01,187021
THAYER,1533,2002-01-01,133066
SCOTTS BLUFF,786,2002-01-01,172955
DAWSON,3850,2002-01-01,225508
ADAMS,2262,2002-01-01,198555
BOX BUTTE,1198,2002-01-01,132854
KEITH,1150,2002-01-01,90981
DEUEL,338,2002-01-01,17026
HOLT,2779,2002-01-01,234509
SALINE,1127,2002-01-01,93517
CEDAR,704,2002-01-01,84511
WEBSTER,652,2002-01-01,48954
CUSTER,2014,2002-01-01,207230
CUMING,419,2002-01-01,43308
RED WILLOW,1051,2002-01-01,44528
MERRICK,5102,2002-01-01,176068
KEARNEY,2130,2002-01-01,215838
FILLMORE,2133,2002-01-01,201608
NUCKOLLS,770,2002-01-01,58449
DUNDY,1067,2002-01-01,88646
FURNAS,891,2002-01-01,68008
FRANKLIN,1113,2002-01-01,92791
MADISON,884,2002-01-01,97844
YORK,2954,2002-01-01,241525
HAYES,480,2002-01-01,50273
SEWARD,1317,2002-01-01,128347
HITCHCOCK,585,2002-01-01,31751
CLAY,2237,2002-01-01,201394
PHELPS,2019,2002-01-01,250548
BUFFALO,3969,2002-01-01,233569
LINCOLN,2077,2002-01-01,207412
DODGE,1716,2002-01-01,110641
JEFFERSON,676,2002-01-01,70768
BOONE,1461,2002-01-01,162088
MCPHERSON,108,2002-01-01,12574
BUTLER,1290,2002-01-01,110160
HARLAN,1114,2002-01-01,71750
POLK,1818,2002-01-01,143646
PLATTE,1877,2002-01-01,178523
WAYNE,247,2002-01-01,30482
CHASE,1448,2002-01-01,169176
GOSPER,675,2002-01-01,83431
MORRILL,916,2002-01-01,123031
NEMAHA,51,2002-01-01,4130
BANNER,417,2002-01-01,20329
ANTELOPE,1933,2002-01-01,225403
HAMILTON,3092,2002-01-01,267590
WHEELER,583,2002-01-01,46307
NANCE,1123,2002-01-01,54188
COLFAX,1022,2002-01-01,59064
SHERMAN,614,2002-01-01,61231
THURSTON,105,2002-01-01,9802
PIERCE,1097,2002-01-01,115069
WASHINGTON,122,2002-01-01,19536
SAUNDERS,927,2002-01-01,97241
VALLEY,577,2002-01-01,77861
SARPY,140,2002-01-01,9509
GREELEY,729,2002-01-01,61405
DOUGLAS,363,2002-01-01,12931
DIXON,165,2002-01-01,17280
BURT,486,2002-01-01,50701
GARFIELD,212,2002-01-01,13529
GAGE,589,2002-01-01,54112
CASS,47,2002-01-01,2137
HOWARD,1052,2002-01-01,103499
CHERRY,443,2002-01-01,34579
SIOUX,336,2002-01-01,39926
FRONTIER,709,2002-01-01,62811
LOGAN,183,2002-01-01,19010
KNOX,435,2002-01-01,45957
ROCK,653,2002-01-01,34388
GARDEN,369,2002-01-01,34781
KEYA PAHA,189,2002-01-01,15777
STANTON,369,2002-01-01,21309
LANCASTER,329,2002-01-01,17394
PERKINS,918,2002-01-01,121683
CHEYENNE,585,2002-01-01,51138
KIMBALL,366,2002-01-01,26783
BROWN,460,2002-01-01,52330
SHERIDAN,637,2002-01-01,51266
BLAINE,112,2002-01-01,9830
GRANT,26,2002-01-01,1158
JOHNSON,165,2002-01-01,12770
DAKOTA,131,2002-01-01,11042
OTOE,45,2002-01-01,4521
BOYD,66,2002-01-01,5531
ARTHUR,90,2002-01-01,7755
DAWES,83,2002-01-01,15017
LOUP,117,2002-01-01,9607
THOMAS,37,2002-01-01,2177
HOOKER,31,2002-01-01,5176
RICHARDSON,28,2002-01-01,1050
PAWNEE,1,2002-01-01,2686
KEARNEY,2326,2007-01-01,216336
SHERIDAN,678,2007-01-01,56977
HALL,4522,2007-01-01,206897
DAWSON,4083,2007-01-01,263867
MORRILL,997,2007-01-01,144581
ADAMS,2427,2007-01-01,203549
BOX BUTTE,1306,2007-01-01,143021
KEITH,1265,2007-01-01,116106
DEUEL,355,2007-01-01,17853
HOLT,3060,2007-01-01,339080
THAYER,1648,2007-01-01,131413
SALINE,1203,2007-01-01,81850
CEDAR,866,2007-01-01,112123
WEBSTER,737,2007-01-01,62363
CUSTER,2222,2007-01-01,333441
CUMING,492,2007-01-01,51158
RED WILLOW,1059,2007-01-01,55075
MERRICK,5318,2007-01-01,163806
FILLMORE,2300,2007-01-01,223522
NUCKOLLS,876,2007-01-01,61115
DUNDY,1068,2007-01-01,112676
FURNAS,955,2007-01-01,51894
FRANKLIN,1163,2007-01-01,87295
MADISON,1004,2007-01-01,107885
YORK,3080,2007-01-01,254711
HAYES,518,2007-01-01,65655
SEWARD,1416,2007-01-01,127433
HITCHCOCK,600,2007-01-01,18998
CLAY,2358,2007-01-01,218108
PHELPS,2266,2007-01-01,246754
BUFFALO,4137,2007-01-01,269141
LINCOLN,2337,2007-01-01,322916
DODGE,1832,2007-01-01,116051
JEFFERSON,770,2007-01-01,80979
BOONE,1616,2007-01-01,173086
MCPHERSON,111,2007-01-01,9675
BUTLER,1400,2007-01-01,117973
HARLAN,1167,2007-01-01,107551
POLK,1937,2007-01-01,164566
PLATTE,2087,2007-01-01,208388
WAYNE,302,2007-01-01,42736
CHASE,1451,2007-01-01,185274
GOSPER,761,2007-01-01,81402
NEMAHA,124,2007-01-01,8439
BANNER,420,2007-01-01,16056
PIERCE,1258,2007-01-01,128897
ANTELOPE,2206,2007-01-01,261266
HAMILTON,3169,2007-01-01,257748
WHEELER,612,2007-01-01,44072
SAUNDERS,1055,2007-01-01,93428
NANCE,1245,2007-01-01,69428
ROCK,684,2007-01-01,43586
COLFAX,1117,2007-01-01,62481
SHERMAN,678,2007-01-01,72256
THURSTON,117,2007-01-01,7813
SCOTTS BLUFF,874,2007-01-01,155576
WASHINGTON,129,2007-01-01,18479
VALLEY,602,2007-01-01,99325
SARPY,155,2007-01-01,11844
GREELEY,824,2007-01-01,76393
DOUGLAS,383,2007-01-01,13804
DIXON,208,2007-01-01,21583
BURT,521,2007-01-01,42938
GARFIELD,221,2007-01-01,20620
GAGE,633,2007-01-01,59275
CASS,52,2007-01-01,2959
HOWARD,1129,2007-01-01,104273
CHERRY,480,2007-01-01,44734
SIOUX,359,2007-01-01,51498
FRONTIER,723,2007-01-01,53702
LOGAN,218,2007-01-01,24756
KNOX,487,2007-01-01,51751
KEYA PAHA,233,2007-01-01,18124
GARDEN,395,2007-01-01,44854
STANTON,419,2007-01-01,31201
LANCASTER,357,2007-01-01,15553
PERKINS,918,2007-01-01,133393
CHEYENNE,616,2007-01-01,51318
KIMBALL,405,2007-01-01,33283
BROWN,462,2007-01-01,51923
BLAINE,116,2007-01-01,13650
GRANT,26,2007-01-01,1475
JOHNSON,186,2007-01-01,11281
DAKOTA,134,2007-01-01,20414
OTOE,54,2007-01-01,4150
BOYD,69,2007-01-01,4488
ARTHUR,90,2007-01-01,8242
DAWES,88,2007-01-01,17572
LOUP,127,2007-01-01,10375
HOOKER,30,2007-01-01,2995
THOMAS,38,2007-01-01,3208
RICHARDSON,41,2007-01-01,2180
PAWNEE,3,2007-01-01,4620
KEARNEY,2324,2012-01-01,194547
SHERIDAN,682,2012-01-01,60699
HALL,4520,2012-01-01,207639
DAWSON,4052,2012-01-01,248463
MORRILL,1000,2012-01-01,128633
ADAMS,2516,2012-01-01,215269
BOX BUTTE,1311,2012-01-01,141563
KEITH,1279,2012-01-01,115304
DEUEL,353,2012-01-01,17382
HOLT,3327,2012-01-01,280234
THAYER,1746,2012-01-01,135509
SALINE,1268,2012-01-01,108115
CEDAR,1096,2012-01-01,139048
WEBSTER,740,2012-01-01,55006
CUSTER,2246,2012-01-01,261502
CUMING,525,2012-01-01,52445
RED WILLOW,1043,2012-01-01,53127
MERRICK,5344,2012-01-01,167430
FILLMORE,2340,2012-01-01,210981
NUCKOLLS,910,2012-01-01,65246
DUNDY,1064,2012-01-01,94837
FURNAS,949,2012-01-01,66352
FRANKLIN,1149,2012-01-01,85752
MADISON,1105,2012-01-01,122039
HAYES,518,2012-01-01,57112
YORK,3117,2012-01-01,252439
SEWARD,1454,2012-01-01,129932
HITCHCOCK,589,2012-01-01,21491
CLAY,2417,2012-01-01,191700
PHELPS,2275,2012-01-01,231896
BUFFALO,4130,2012-01-01,240799
DIXON,241,2012-01-01,23966
LINCOLN,2362,2012-01-01,239819
DODGE,1891,2012-01-01,117968
JEFFERSON,839,2012-01-01,92769
BOONE,1664,2012-01-01,184700
MCPHERSON,114,2012-01-01,7113
BUTLER,1442,2012-01-01,110839
HARLAN,1152,2012-01-01,93336
POLK,1964,2012-01-01,151016
PLATTE,2142,2012-01-01,194037
WAYNE,349,2012-01-01,49807
CHASE,1449,2012-01-01,159692
GOSPER,769,2012-01-01,98765
NEMAHA,143,2012-01-01,11402
BANNER,422,2012-01-01,15173
PIERCE,1337,2012-01-01,130027
ANTELOPE,2435,2012-01-01,249735
HAMILTON,3148,2012-01-01,235492
WHEELER,626,2012-01-01,39363
SAUNDERS,1097,2012-01-01,105618
NANCE,1255,2012-01-01,63316
ROCK,701,2012-01-01,36290
COLFAX,1143,2012-01-01,66796
SHERMAN,696,2012-01-01,71109
THURSTON,130,2012-01-01,11915
SCOTTS BLUFF,872,2012-01-01,199195
WASHINGTON,132,2012-01-01,17279
VALLEY,614,2012-01-01,93080
SARPY,161,2012-01-01,10385
GREELEY,850,2012-01-01,88190
DOUGLAS,388,2012-01-01,19770
BURT,544,2012-01-01,37576
GARFIELD,228,2012-01-01,22477
GAGE,688,2012-01-01,63795
CASS,53,2012-01-01,3513
HOWARD,1147,2012-01-01,115436
CHERRY,544,2012-01-01,50879
SIOUX,361,2012-01-01,39527
FRONTIER,716,2012-01-01,53286
LOGAN,245,2012-01-01,22968
KNOX,587,2012-01-01,63949
KEYA PAHA,272,2012-01-01,20138
GARDEN,399,2012-01-01,35725
STANTON,449,2012-01-01,28398
LOUP,128,2012-01-01,8222
LANCASTER,370,2012-01-01,21428
PERKINS,928,2012-01-01,127855
CHEYENNE,601,2012-01-01,48677
KIMBALL,402,2012-01-01,34353
BROWN,470,2012-01-01,40156
BLAINE,128,2012-01-01,6977
GRANT,27,2012-01-01,1703
JOHNSON,220,2012-01-01,14298
OTOE,65,2012-01-01,8412
BOYD,79,2012-01-01,5221
ARTHUR,90,2012-01-01,12401
DAKOTA,140,2012-01-01,29301
DAWES,86,2012-01-01,21390
HOOKER,31,2012-01-01,3124
THOMAS,44,2012-01-01,2944
RICHARDSON,56,2012-01-01,4686
PAWNEE,4,2012-01-01,7305
